country,director,language,mins,name,rate,rate_1,rate_2,rate_3,rate_4,rate_5,review_num,year
美国 / 新西兰,彼得·杰克逊,英语 / 辛达林语 / 古代英语,179分钟,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,9.0,0.2%,0.5%,7.8%,31.6%,59.9%,363092,2003
美国 / 英国 / 德国,詹姆斯·麦克特格,英语,132分钟,V字仇杀队 V for Vendetta,8.8,0.4%,1.1%,9.7%,33.5%,55.3%,573822,2005
美国,威廉·惠勒,英语 / 意大利语 / 德语,118分钟,罗马假日 Roman Holiday,9.0,0.1%,0.3%,7.7%,34.8%,57.1%,517952,1953
香港 / 中国大陆,刘镇伟,粤语 / 汉语普通话,87分钟,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,8.9,0.2%,0.6%,8.5%,33.0%,57.7%,590085,2014
美国 / 德国,大卫·芬奇,英语,139 分钟,搏击俱乐部 Fight Club,9.0,0.3%,0.8%,7.7%,30.6%,60.6%,500198,1999
印度,涅提·蒂瓦里,印地语,161分钟(印度),摔跤吧！爸爸 Dangal,9.0,0.2%,0.4%,6.5%,32.8%,60.1%,726399,2017
美国,彼特·道格特,英语,96分钟,飞屋环游记 Up,8.9,0.1%,0.4%,8.0%,35.6%,56.0%,689904,2009
日本,宫崎骏,日语,125分钟,天空之城 天空の城ラピュタ,9.1,0.1%,0.3%,6.5%,32.6%,60.6%,452686,1986
美国 / 新西兰,彼得·杰克逊,英语 / 昆雅语 / 古英语 / 辛达林语,201分钟,指环王3：王者无敌 The Lord of the Rings: The Return of the King,9.1,0.2%,0.5%,6.8%,27.4%,65.1%,386833,2004
美国,比利·怀德,英语 / 德语,116分钟,控方证人 Witness for the Prosecution,9.6,0.1%,0.1%,1.7%,17.0%,81.1%,164305,1957
美国,西德尼·吕美特,英语,96 分钟,十二怒汉 12 Angry Men,9.4,0.1%,0.2%,3.7%,22.0%,73.9%,230649,1957
中国大陆,姜文,汉语普通话 / 日语 / 唐山话,139分钟,鬼子来了,9.2,0.2%,0.4%,5.4%,26.2%,67.8%,322611,2000
意大利 / 法国,朱塞佩·托纳多雷,意大利语,155分钟,天堂电影院 Nuovo Cinema Paradiso,9.2,0.1%,0.4%,5.8%,29.2%,64.5%,386709,1988
美国 / 台湾 / 英国 / 加拿大,李安,英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话,127分钟,少年派的奇幻漂流 Life of Pi,9.0,0.2%,0.5%,6.9%,31.7%,60.7%,774065,2012
中国大陆 / 香港,张艺谋,汉语普通话,132分钟,活着,9.2,0.1%,0.4%,5.3%,29.5%,64.7%,392940,1994
美国,昆汀·塔伦蒂诺,英语 / 西班牙语 / 法语,154分钟,低俗小说 Pulp Fiction,8.8,0.3%,1.0%,10.0%,35.7%,53.0%,443554,1994
美国,罗伯特·怀斯,英语 / 德语,174分钟,音乐之声 The Sound of Music,9.0,0.1%,0.4%,8.0%,34.9%,56.7%,303761,1965
美国 / 英国,克里斯·哥伦布,英语,152分钟,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,8.9,0.1%,0.5%,9.4%,36.4%,53.6%,399317,2002
日本,中岛哲也,日语,130 分钟,被嫌弃的松子的一生 嫌われ松子の一生,8.9,0.4%,1.1%,9.1%,33.6%,55.7%,399131,2006
美国,史蒂文·斯皮尔伯格,英语 / 法语 / 德语 / 捷克语,169分钟,拯救大兵瑞恩 Saving Private Ryan,8.9,0.1%,0.4%,7.6%,36.1%,55.7%,329253,1998
美国,大卫·芬奇,英语 / 葡萄牙语,127分钟,七宗罪 Se7en,8.8,0.2%,0.6%,9.7%,39.8%,49.7%,545457,1995
美国 / 英国,克里斯托弗·诺兰,英语,130分钟,致命魔术 The Prestige,8.8,0.2%,0.6%,8.9%,38.4%,51.9%,451936,2006
